"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-ED-A7PX-01A",0.0318370262732389,0,0.00442095284832901,0.0679675127249633,0,0.114456377003337,0,0.00646546326295185,0.0898607214084095,0,0,0.0537741172047606,0.043832010832329,0.20194611013199,0.0441787933911407,0.241782000805837,0,0.0283866129251593,0.0568027047919404,0,0,0.0142895963956128,0.1,0.106419775293434,1.04472323691095
"TCGA-G3-A3CH-11A",0.0712283337638754,0,0.0449743165143512,0.203518021997138,0,0.169940916312842,0,0.0302738008276292,0.0591333986067184,0,0.0524390829789666,0,0.0077973154063566,0.0052660669062279,0.138741093393838,0.192757635431981,0.000863817282350658,0,0.0163032070572271,0,0,0.00676299352049793,0.0600000000000001,0.150933804514828,1.038093737578
"TCGA-DD-A3A2-01A",0.0531447317252641,0,0.0035271617955185,0.0584891715423992,0,0.100887696680772,0,0.0403092906597299,0.0736080857558981,0.0393468275458804,0.0549396954868066,0.0447253945508076,0,0.0512239610538709,0.0732154787675493,0.370848147096974,0,0,0.0357343573385295,0,0,0,0.42,0.0198263936549547,1.08273608595286
"TCGA-DD-AAE9-01A",0.0182515090655389,0,0,0.120151746135896,0,0.00221005881411376,0,0.0235907554984401,0.151444352094215,0,0,0.064152596755041,0.0101944283581348,0.162343495578735,0.0881458517587649,0.256185330034554,0.0128486770623285,0,0.0904811988442381,0,0,0,0.32,0.0336137261427369,1.07685348811123
"TCGA-EP-A2KA-01A",0.0343403403956908,0,0.0160696571667011,0.159999424879323,0,0.187114771930592,0,0.0406104718135412,0.105091509802893,0.031424347437433,0,0.125945055590693,0.000272993728024446,0.0529499049356355,0.0967936447695652,0.0317142717009097,0.0410353922327286,0,0.0538984227496123,0,0,0.0227397908666568,0.19,0.0667883505441073,1.09017536283919
"TCGA-DD-A3A3-01A",0.0490189130315283,0,0.00250977976303523,0.0729215435755403,0,0.205301047136106,0,0.00234253107727873,0.114445186853186,0.0232477109996267,0,0.039507553097267,0,0.110282629120312,0.0761509171630732,0.191616689649073,0.0444328568532176,0,0.0607967109314142,0,0,0.00742593074934225,0.21,0.0554441746926951,1.06303241524192
"TCGA-2Y-A9GZ-01A",0.0455696325845714,0,0.0252686776459726,0.107022106690616,0,0.027979913503806,0,0.10760396589202,0.0258249603150592,0.00625297680124101,0,0.0609897064979527,0,0.139321909704442,0.0727847854534188,0.320287904116519,0.00805949003857472,0,0.0530339707558061,0,0,0,0.22,0.0547734919363774,1.06573164563298
"TCGA-DD-A1ED-01A",0.041389133753683,0,0,0.149603001873416,0,0.173473086804043,0,0.0223571083795603,0.0369119947003443,0.00667654931697232,0,0.0728588860043872,0.0422212996344221,0.0463572408429639,0.0559242763137903,0.168251726845351,0.0138321288732638,0,0.126324975735002,0.03743551791643,0,0.00638307300636982,0.21,0.0559949829475794,1.06311567582497
"TCGA-DD-A11B-01A",0.0153761087942004,0,0,0.0766330271875684,0,0.2860745073066,0,0.00212284697172727,0.0633140796215052,0,0,0.0538567204841822,0.0273519913080464,0.0429225252894853,0.0648813139539669,0.219419224014554,0.00281860867090226,0,0.141230048890119,0,0,0.00399899750714225,0.83,-0.019827021638001,1.09336163452059
"TCGA-G3-A25Y-01A",0.0701429413967692,0,0.00354942004472619,0.0755018442269172,0,0.237336909771115,0,0.0550942968172315,0.106371776235084,0,0,0.0294364316003449,0.00716768467132877,0.0458117189097632,0.0996537070050766,0.191160001476824,0.00653736049021012,0,0.06830089513967,0,0,0.00393501221493926,0.11,0.0934327056049262,1.05345811440097
